period,product,price,log_price,normalized_price
2016-03-01,UK Brent Crude Oil,38.21,3.6430972614588084,0.5200628920931974
2016-03-01,WTI Crude Oil,37.55,3.6256733782101436,0.5133935211864207
2016-02-01,UK Brent Crude Oil,32.18,3.471345141564237,0.4543210264450869
2016-02-01,WTI Crude Oil,30.32,3.411807560774171,0.4315317203234699
2016-01-01,UK Brent Crude Oil,30.7,3.4242626545931514,0.43629917882694946
2016-01-01,WTI Crude Oil,31.68,3.455685566946225,0.448326983103579
2015-12-01,WTI Crude Oil,37.19,3.6160399079369787,0.5097061005664467
2015-12-01,UK Brent Crude Oil,38.01,3.6378492830011573,0.5180541140070879
2015-11-01,UK Brent Crude Oil,44.27,3.7903072467440495,0.5764107210493892
2015-11-01,WTI Crude Oil,42.44,3.7480913137457823,0.5602516529861516
2015-10-01,WTI Crude Oil,46.22,3.8334126048462345,0.5929102359479946
2015-10-01,UK Brent Crude Oil,48.43,3.880119456415138,0.6107883009324264
2015-09-01,UK Brent Crude Oil,47.62,3.8632528410587166,0.6043322364519365
2015-09-01,WTI Crude Oil,45.48,3.8172726688823353,0.586732323836289
2015-08-01,WTI Crude Oil,42.87,3.7581722806098856,0.5641103626753814
2015-08-01,UK Brent Crude Oil,46.52,3.839882327650464,0.595386663299443
2015-07-01,WTI Crude Oil,50.9,3.929862923556477,0.6298286966823278
2015-07-01,UK Brent Crude Oil,56.56,4.0353020215883175,0.6701878085298102
2015-06-01,WTI Crude Oil,59.82,4.091340053201802,0.691637585963589
2015-06-01,UK Brent Crude Oil,61.48,4.118711918670395,0.7021147637898598
2015-05-01,WTI Crude Oil,59.27,4.082103275799747,0.6881020081823065
2015-05-01,UK Brent Crude Oil,64.08,4.160132302760104,0.7179693181766721
2015-04-01,UK Brent Crude Oil,59.52,4.086312390524837,0.689713138542294
2015-04-01,WTI Crude Oil,54.45,3.9972828493789696,0.6556351420883503
2015-03-01,UK Brent Crude Oil,55.89,4.023385473281607,0.6656264900538003
2015-03-01,WTI Crude Oil,47.82,3.867443962030179,0.6059364793107145
2015-02-01,UK Brent Crude Oil,58.1,4.062165663857866,0.6804704528545942
2015-02-01,WTI Crude Oil,50.58,3.923556241241819,0.6274146766302313
2015-01-01,UK Brent Crude Oil,47.76,3.8661884690843467,0.6054559120337707
2015-01-01,WTI Crude Oil,47.22,3.8548175316573667,0.6011034380085508
2014-12-01,WTI Crude Oil,59.29,4.0824406577192764,0.6882311484621437
2014-12-01,UK Brent Crude Oil,62.34,4.132603274339191,0.7074319828064791
2014-11-01,WTI Crude Oil,75.79,4.327966357823938,0.7822114591526153
2014-11-01,UK Brent Crude Oil,79.44,4.375002019736917,0.8002153834596408
2014-10-01,WTI Crude Oil,84.4,4.4355674016019115,0.823398102834162
2014-10-01,UK Brent Crude Oil,87.43,4.470838473192799,0.8368988738943178
2014-09-01,WTI Crude Oil,93.21,4.5348550120730655,0.8614025988026736
2014-09-01,UK Brent Crude Oil,97.09,4.575638383382054,0.8770133226698278
2014-08-01,UK Brent Crude Oil,101.61,4.62114195549779,0.8944308062291465
2014-08-01,WTI Crude Oil,96.54,4.569957430232347,0.874838814087631
2014-07-01,UK Brent Crude Oil,106.77,4.670676988190211,0.9133914191528116
2014-07-01,WTI Crude Oil,103.59,4.640440800070011,0.9018178594300591
2014-06-01,WTI Crude Oil,105.79,4.661455996998683,0.9098618838875238
2014-06-01,UK Brent Crude Oil,111.8,4.716711560720999,0.9310121546892637
2014-05-01,UK Brent Crude Oil,109.54,4.696289779355575,0.923195272966669
2014-05-01,WTI Crude Oil,102.18,4.626735963902652,0.8965720348160925
2014-04-01,WTI Crude Oil,102.07,4.625658852415407,0.8961597469286071
2014-04-01,UK Brent Crude Oil,107.76,4.679906532102109,0.9169242281581491
2014-03-01,WTI Crude Oil,100.8,4.613138355637268,0.8913672540176533
2014-03-01,UK Brent Crude Oil,107.48,4.6773047837472905,0.9159283522941559
2014-02-01,UK Brent Crude Oil,108.9,4.690430029938915,0.9209523262180749
2014-02-01,WTI Crude Oil,100.82,4.6133367486544845,0.8914431932671447
2014-01-01,UK Brent Crude Oil,108.12,4.683241721408247,0.9182008445248625
2014-01-01,WTI Crude Oil,94.62,4.549868870203002,0.867149480090916
2013-12-01,WTI Crude Oil,97.63,4.58118482323758,0.8791363433581962
2013-12-01,UK Brent Crude Oil,110.76,4.707365698302761,0.9274348222415323
2013-11-01,UK Brent Crude Oil,107.79,4.680184889793537,0.9170307756287901
2013-11-01,WTI Crude Oil,93.86,4.541804310366271,0.8640625941204665
2013-10-01,UK Brent Crude Oil,109.08,4.692081557977388,0.9215844845546709
2013-10-01,WTI Crude Oil,100.54,4.610555658264429,0.8903786703320539
2013-09-01,WTI Crude Oil,106.29,4.66617120754549,0.9116667334489793
2013-09-01,UK Brent Crude Oil,111.6,4.71492104994721,0.9303267976828749
2013-08-01,WTI Crude Oil,106.57,4.668802046232865,0.9126737442715147
2013-08-01,UK Brent Crude Oil,111.28,4.712049547615187,0.9292276676072987
2013-07-01,UK Brent Crude Oil,107.93,4.681482868837255,0.9175276053852937
2013-07-01,WTI Crude Oil,104.67,4.650812543866793,0.9057878703250816
2013-06-01,UK Brent Crude Oil,102.92,4.6339519874135435,0.8993341250217788
2013-06-01,WTI Crude Oil,95.77,4.561949483533528,0.8717735980290802
2013-05-01,UK Brent Crude Oil,102.56,4.63044799317236,0.8979928948886249
2013-05-01,WTI Crude Oil,94.51,4.548705649006965,0.8667042318364206
2013-04-01,WTI Crude Oil,92.02,4.522005944727322,0.8564843383487944
2013-04-01,UK Brent Crude Oil,102.25,4.627420794922911,0.8968341688086929
2013-03-01,UK Brent Crude Oil,108.47,4.686473637052126,0.9194379306474464
2013-03-01,WTI Crude Oil,92.94,4.531954123656832,0.8602922205631663
2013-02-01,UK Brent Crude Oil,116.05,4.754021132720446,0.9452932061911713
